FIPS,State,County,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15,Population2010,ACCESS2_CrudePrev,BPHIGH_CrudePrev,HIGHCHOL_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,Cluster,Priority_Category
1073,AL,Jefferson,209262.0,205658.0,-1.722,31.78,31.233,75210.0,80805.0,7.438,11.422,12.272,7539.0,7230.0,-4.1,2.86,2.743,13858.0,5.258,50219.0,49883.0,-0.0,7.627,7.576,26851.0,25971.0,-3.277,4.078,3.944,94906.0,14.413,102010.0,15.492,7098.0,1.078,1809.0,0.275,477.0,0.072,81.0,0.012,6377.0,0.968,2630.0,19.8,43.9,35.3,14.7,15.9,40.6,4.2,1,Medium
1083,AL,Limestone,10138.0,9340.0,-7.872,12.246,11.282,3270.0,2913.0,-10.925,3.95,3.518,873.0,839.0,-3.802,2.773,2.668,554.0,1.759,1937.0,1707.0,-11.0,2.339,2.061,1519.0,1422.0,-6.403,1.834,1.717,6815.0,8.232,2009.0,2.427,427.0,0.516,31.0,0.037,61.0,0.073,3.0,0.003,423.0,0.51,760.5,14.2,30.799999999999997,27.450000000000003,7.7,13.7,31.7,2.05,0,Medium
1089,AL,Madison,110053.0,88545.0,-19.544,32.87,26.446,27135.0,25002.0,-7.862,8.105,7.467,2829.0,2336.0,-17.419,2.1,1.734,3343.0,2.481,26276.0,21194.0,-19.0,7.848,6.33,12422.0,9828.0,-20.879,3.71,2.935,57840.0,17.275,22813.0,6.814,4986.0,1.489,2695.0,0.805,612.0,0.183,79.0,0.024,4508.0,1.346,3035.5,14.3,37.35,35.4,11.25,14.2,33.45,3.3,2,High
1097,AL,Mobile,112774.0,103769.0,-7.985,27.306,25.126,43730.0,42398.0,-3.047,10.589,10.266,3562.0,3248.0,-8.814,2.248,2.05,7494.0,4.73,28441.0,26377.0,-7.0,6.886,6.387,14570.0,13687.0,-6.061,3.528,3.314,64582.0,15.637,34367.0,8.321,2040.0,0.494,1983.0,0.48,566.0,0.137,57.0,0.014,2217.0,0.537,2540.0,18.6,42.7,35.8,13.5,16.8,38.7,4.1,1,Medium
1101,AL,Montgomery,64260.0,66181.0,2.989,28.017,28.854,25877.0,33424.0,29.166,11.282,14.572,2360.0,2821.0,19.561,2.622,3.135,6500.0,7.223,16620.0,17675.0,7.0,7.246,7.706,7484.0,6844.0,-8.555,3.263,2.984,19164.0,8.355,43344.0,18.897,3032.0,1.322,714.0,0.311,187.0,0.081,61.0,0.026,2714.0,1.183,3484.0,19.3,40.05,35.2,13.0,16.35,38.8,4.0,1,High
1117,AL,Shelby,52014.0,47123.0,-9.404,26.662,24.155,7449.0,8394.0,12.686,3.818,4.302,969.0,1359.0,40.265,1.308,1.835,705.0,0.951,13436.0,12434.0,-7.0,6.887,6.374,5550.0,5196.0,-6.389,2.845,2.663,40787.0,20.907,3591.0,1.84,2433.0,1.247,1018.0,0.521,128.0,0.065,10.0,0.005,1592.0,0.816,1652.0,9.4,37.7,38.0,9.4,10.6,30.2,2.4,2,Low
1125,AL,Tuscaloosa,39479.0,34860.0,-11.7,20.281,17.908,14356.0,12642.0,-11.942,7.375,6.494,1716.0,1417.0,-17.455,2.253,1.86,1514.0,1.987,8715.0,7648.0,-12.0,4.477,3.929,4469.0,3920.0,-12.295,2.296,2.013,21742.0,11.169,11865.0,6.095,859.0,0.441,376.0,0.193,121.0,0.062,7.0,0.003,752.0,0.386,2814.5,17.200000000000003,37.150000000000006,33.5,10.4,17.65,36.45,3.1,2,Medium
2020,AK,Anchorage,87980.0,80040.0,-9.024,30.148,27.427,13342.0,14924.0,11.855,4.572,5.114,1037.0,994.0,-4.151,0.966,0.926,1419.0,1.321,22921.0,20528.0,-10.0,7.854,7.034,6070.0,5428.0,-10.574,2.08,1.86,58057.0,19.894,3473.0,1.19,5558.0,1.904,5616.0,1.924,4873.0,1.67,845.0,0.289,7179.0,2.46,5107.0,12.8,28.4,31.4,7.3,11.6,33.7,2.3,0,High
4013,AZ,Maricopa,492282.0,511216.0,3.846,12.897,13.393,139989.0,167934.0,19.962,3.667,4.399,11075.0,13846.0,25.02,0.785,0.981,18994.0,1.346,117944.0,122204.0,4.0,3.09,3.201,77452.0,86015.0,11.057,2.029,2.253,389367.0,10.201,23171.0,0.607,129064.0,3.381,14731.0,0.386,10080.0,0.264,725.0,0.019,73146.0,1.916,3961.0,13.1,26.4,30.5,8.3,12.7,27.8,2.5,0,Medium
4019,AZ,Pima,232209.0,218482.0,-5.911,23.688,22.288,71178.0,75296.0,5.785,7.261,7.681,4801.0,5049.0,5.156,1.235,1.299,10468.0,2.693,50096.0,47678.0,-4.0,5.11,4.864,44002.0,42728.0,-2.895,4.489,4.359,163853.0,16.715,5831.0,0.595,63979.0,6.527,4469.0,0.456,14427.0,1.472,244.0,0.025,29660.0,3.026,3686.5,15.55,28.2,32.55,9.5,14.2,28.4,2.95,2,High
